,Open,High,Low,Close,Volume
2002-07-01,7.262107973112024,7.523624369641498,7.1668886010036115,7.2942938804626465,268312
2002-07-02,7.439136065300447,7.440477233134187,7.191030581981588,7.254062652587891,133963
2002-07-03,7.309045648116879,7.5102122941328435,7.195051356253419,7.452544212341309,89276
2002-07-04,7.452545737094375,7.614819972674799,7.429747296693999,7.4954609870910645,313347
2002-07-05,7.5423986037494055,7.72210728665722,7.510212699396219,7.569220542907715,262469
2002-07-08,7.593364308935537,7.664443395780501,7.4324311919233175,7.492781639099121,143585
2002-07-09,7.535693803049883,7.557151777958384,7.376101919679255,7.392195224761963,43145
2002-07-10,7.349279987239875,7.441815611071576,7.1896873993030175,7.221874713897705,28782
2002-07-11,7.215170062808636,7.318435043280599,7.027415040572494,7.077035427093506,86450
2002-07-12,7.067644504379715,7.18700345056753,7.034116734250369,7.119947910308838,64007
2002-07-15,7.161525620182976,7.1883489769557185,7.027415880267999,7.094471454620361,36767
2002-07-16,7.241992353937683,7.241992353937683,6.973770075749892,7.030097007751465,41256
2002-07-17,7.107882720944242,7.132022334242775,6.977794366010294,7.058260917663574,38629
2002-07-18,7.0274121290339835,7.134700568090248,7.0274121290339835,7.103855133056641,45238
2002-07-19,7.000588786579548,7.21516707348107,7.000588786579548,7.103855133056641,39207
2002-07-22,7.054234804388782,7.134702030669493,7.022048900028997,7.11324405670166,98137
2002-07-23,7.215169523187581,7.215169523187581,6.920124630721097,7.093128204345703,44252
2002-07-24,7.055579126228409,7.201760083782272,7.055579126228409,7.086423873901367,63242
2002-07-25,7.376102555426287,7.376102555426287,7.215169490728373,7.323799133300781,202900
2002-07-26,7.243332169292764,7.510213229909225,7.114585020812257,7.44315767288208,168820
2002-07-29,7.57726797101445,7.68187409337282,7.325139075565895,7.490095615386963,186031
2002-07-30,7.617503411362562,7.671148009925563,7.29563722877425,7.388173580169678,231704
2002-07-31,7.5370346643996795,7.5370346643996795,7.054234827132052,7.428404331207275,146515
2002-08-01,7.1105622759960445,7.537035227422381,7.1105622759960445,7.386830806732178,25631
2002-08-02,7.113245387812234,7.5075310666398245,7.1078814216124915,7.37476110458374,42693
2002-08-05,7.282225658888707,7.561175858025367,7.282225658888707,7.515578269958496,44142
2002-08-06,7.5638583898549,7.5638583898549,7.416336294089906,7.526307106018066,36977
