,Open,High,Low,Close,Volume
2002-07-01,8.809687932032098,9.072284764320067,8.75886325987546,9.012989044189453,1435835
2002-07-02,9.148522726321287,10.021020485467218,9.148522726321287,9.673715591430664,12510830
2002-07-03,9.648305195226834,9.775367711041076,9.199349249283124,9.27558708190918,3589120
2002-07-04,9.317939637317988,9.80924911720363,9.300997541121568,9.555123329162598,3957485
2002-07-05,9.648303925034696,10.232792551813997,9.572066102445294,9.987137794494629,9544070
2002-07-08,10.334440732738969,10.927400294614149,10.165023830466563,10.283616065979004,5771825
2002-07-09,10.309029680342576,10.8596348831061,10.24973395914012,10.571625709533691,6671245
2002-07-10,10.647863856344289,10.741043772937326,10.004079527800343,10.037962913513184,4501655
2002-07-11,10.02102036283217,10.419150732807418,9.843132393936303,9.91089916229248,4315180
2002-07-12,10.16502540797542,10.283617661892176,9.919370659596426,10.037962913513184,2800140
2002-07-15,10.122671019828108,10.122671019828108,9.495827977373036,9.62289047241211,1704595
2002-07-16,9.690654066288852,9.80924628185404,9.326407989630376,9.436529159545898,1916820
2002-07-17,9.402646826220789,9.55512162558588,9.190875508583774,9.241700172424316,1433035
2002-07-18,9.334881295350051,9.538181593102841,9.334881295350051,9.504298210144043,1012385
2002-07-19,9.470415701294552,9.775366176070344,9.351823446071034,9.445002555847168,1536150
2002-07-22,9.148522653331158,9.317939574943223,8.902867915032761,8.996047019958496,1245150
2002-07-23,8.928280264261234,9.148522666598112,8.843571399410557,9.114639282226562,762115
2002-07-24,9.046871964856065,9.148522111806367,8.835100623415377,8.88592529296875,608620
2002-07-25,9.148523394581307,9.317940329920214,8.657213878176645,8.852043151855469,703220
2002-07-26,8.877455863771388,8.877455863771388,8.148962607236221,8.242141723632812,1532135
2002-07-29,8.318381054329198,8.386147843574108,7.581416615407921,7.920251369476318,1491780
2002-07-30,8.13201976452884,8.309907722123018,7.7931851364314,7.860951900482178,1291000
2002-07-31,7.8101278016292,8.284495184620996,7.623768782960618,8.081194877624512,1057095
2002-08-01,8.301437579653124,8.453912411467938,7.97954501139841,8.047311782836914,1041365
2002-08-02,7.8778954992870815,8.36920503636675,7.793186624131123,8.242141723632812,1197590
2002-08-05,8.055783062762183,8.386145881059072,8.055783062762183,8.309908866882324,688550
2002-08-06,8.30143731109703,8.403087464966347,8.148961676371249,8.360733032226562,464005
2002-08-07,8.623331074358425,8.640272365116326,8.38614654099802,8.504738807678223,656345
2002-08-08,8.64027033731914,8.64027033731914,8.021898424673436,8.064252853393555,816270
2002-08-09,8.250613368359149,8.284496759298957,8.004958582084596,8.1320219039917,751370
2002-08-12,8.43697083175289,8.43697083175289,8.132020370789633,8.199787139892578,373580
2002-08-13,8.301434631129812,8.301434631129812,8.182842419312475,8.225196838378906,177195
